time,ping,load
12:12:22,22,380
12:12:32,40,407
12:12:42,24,383
12:12:52,24,394
12:13:02,22,331
12:13:12,23,336
12:13:22,23,344
12:13:32,40,381
12:13:42,24,362
12:13:52,22,396
12:14:02,25,387
12:14:12,22,374
12:14:22,23,416
12:14:32,25,367
12:14:42,43,485
12:14:52,22,391
12:15:02,25,428
12:15:12,23,336
12:15:22,23,364
12:15:32,24,367
12:15:42,34,368
12:15:52,21,390
12:16:02,24,397
12:16:12,21,343
12:16:22,21,386
12:16:32,24,362
12:16:42,23,398
12:16:52,45,376
12:17:02,25,394
12:17:12,23,322
12:17:22,23,334
12:17:32,24,374
12:17:42,24,374
12:17:52,34,365
12:18:02,26,413
12:18:12,21,335
12:18:22,22,322
12:18:32,24,351
12:18:42,24,398
12:18:52,22,360
12:19:02,42,414
12:19:12,25,334
12:19:22,23,366
12:19:32,21,371
12:19:42,19,463
12:19:52,18,385
12:20:02,24,409
12:20:12,47,372
12:20:22,17,393
12:20:32,20,368
12:20:42,18,392
12:20:52,17,366
12:21:02,18,389
12:21:12,33,357
12:21:22,20,353
12:21:32,18,346
12:21:42,20,377
12:21:52,17,379
12:22:03,20,370
12:22:13,18,357
12:22:23,68,389
